symbol,market,cname,ename
XLU,UP,SPDR公用事業精選行業基金,UTILITIES SELECT SECTOR SPDR
XLV,UP,思柏達健康護理指數基金,HEALTH CARE SELECT SECTOR
XME,UP,SPDR標普金屬與礦產業ETF,SPDR S&P METALS & MINING ETF
XOP,UP,SPDR標普油氣開採及生產ETF,SPDR S&P OIL & GAS EXP & PR
DIA,UP,SPDR道瓊工業平均ETF信託,SPDR DJIA TRUST
SOXX,UP,iShares安碩半導體交易所交易,ISHARES SEMICONDUCTOR ETF
KRE,UP,SPDR標普地區性銀行ETF,SPDR S&P REGIONAL BANKING
NXPI,UP,恩智浦半導體股份有限公司,NXP SEMICONDUCTORS NV
ARKK,UP,ARK新興主動型ETF,ARK INNOVATION ETF
IHI,UP,iShares安碩美國醫療設備ETF,ISHARES U.S. MEDICAL DEVICES
XPEV,UN,小鵬汽車有限公司,XPENG INC - ADR
SRG,UN,Seritage成長不動產,SERITAGE GROWTH PROP- A
INFY,UN,印福思股份有限公司,INFOSYS LTD-SP ADR
C,UN,花旗集團,CITIGROUP INC
DAL,UN,達美航空,DELTA AIR LINES INC
JPM,UN,摩根大通銀行,JPMORGAN CHASE & CO
UNH,UN,聯合健康集團公司,UNITEDHEALTH GROUP INC
BAC,UN,美國銀行,BANK OF AMERICA CORP
BK,UN,紐約梅隆銀行,BANK OF NEW YORK MELLON CORP
BLK,UN,貝萊德公司,BLACKROCK INC
GS,UN,高盛集團,GOLDMAN SACHS GROUP INC
KMI,UN,金德摩根公司(德拉瓦州),KINDER MORGAN INC
SCHW,UN,嘉信理財公司,SCHWAB (CHARLES) CORP
USB,UN,美國合眾銀行,US BANCORP
AA,UN,美國鋁業公司,ALCOA CORP
STZ,UN,星座品牌公司,CONSTELLATION BRANDS INC-A
IBM,UN,國際商業機器公司,INTL BUSINESS MACHINES CORP
JNJ,UN,嬌生公司,JOHNSON & JOHNSON
WFC,UN,富國銀行,WELLS FARGO & CO
ABT,UN,亞培,ABBOTT LABORATORIES
LEN,UN,萊納房屋公司,LENNAR CORP-A
HON,UN,漢威聯合國際公司,HONEYWELL INTERNATIONAL INC
MS,UN,摩根士丹利,MORGAN STANLEY
PM,UN,菲利浦莫里斯國際公司,PHILIP MORRIS INTERNATIONAL
TSM,UN,台灣積體電路製造股份有限公司,TAIWAN SEMICONDUCTOR-SP ADR
UNP,UN,聯合太平洋公司,UNION PACIFIC CORP
AXP,UN,美國運通,AMERICAN EXPRESS CO
KO,UN,可口可樂公司,COCA-COLA CO/THE
MAN,UN,萬寶華,MANPOWERGROUP INC
SLB,UN,斯倫貝謝公眾有限公司,SCHLUMBERGER LTD
STT,UN,道富銀行,STATE STREET CORP
SYF,UN,同步金融,SYNCHRONY FINANCIAL
HAL,UN,哈里伯頓公司,HALLIBURTON CO
EDU,UN,新東方教育科技集團,NEW ORIENTAL EDUCATIO-SP ADR
EQR,UN,公平住屋公司,EQUITY RESIDENTIAL
KMB,UN,金百利克拉克,KIMBERLY-CLARK CORP
LMT,UN,洛克希德馬丁,LOCKHEED MARTIN CORP
MCD,UN,麥當勞公司,MCDONALD'S CORP
NUE,UN,諾可公司,NUCOR CORP
PG,UN,寶僑公司,PROCTER & GAMBLE CO/THE
SKX,UN,美商思凱捷股份有限公司,SKECHERS USA INC-CL A
SNAP,UN,Snap公司,SNAP INC - A
TRV,UN,旅行者保險公司,TRAVELERS COS INC/THE
UPS,UN,聯合包裹服務公司,UNITED PARCEL SERVICE-CL B
APH,UN,安費諾,AMPHENOL CORP-CL A
BA,UN,波音公司,BOEING CO/THE
BSX,UN,波士頓科學公司,BOSTON SCIENTIFIC CORP
BX,UN,黑石公司,BLACKSTONE INC
CAT,UN,卡特彼勒公司,CATERPILLAR INC
CLF,UN,克里夫蘭克里夫公司,CLEVELAND-CLIFFS INC
CMG,UN,奇波雷墨西哥燒烤公司,CHIPOTLE MEXICAN GRILL INC
EW,UN,愛德華生命科學,EDWARDS LIFESCIENCES CORP
FCX,UN,自由港麥克莫蘭銅金公司,FREEPORT-MCMORAN INC
HLT,UN,希爾頓全球控股公司,HILTON WORLDWIDE HOLDINGS IN
HRI,UN,赫克控股公司,HERC HOLDINGS INC
IVZ,UN,景順有限公司,INVESCO LTD
LLY,UN,禮來公司,ELI LILLY & CO
LVS,UN,拉斯維加斯金沙集團,LAS VEGAS SANDS CORP
NSC,UN,諾福克南方公司,NORFOLK SOUTHERN CORP
